9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3
11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4
12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6
13,13,13,13,13,13,12,12,11,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7
1,1,1,1,1,1,1,1,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8
3,3,3,3,"3,2","3,2","3,2","3,2",2,2,2,1,1,1,1,1,1,1,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9
4,4,4,4,4,4,4,4,3,3,3,3,"3,2","3,2","3,2","3,2",2,2,2,2,1,1,1,1,1,1,1,1,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11
6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,"3,2","3,2","3,2","3,2",2,2,2,2,1,1,1,1,1,1,1,1,13,13,13,12,13,13,13,13,13,12,12,12,12,12
7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,"3,2","3,2","3,2","3,2",2,2,2,2,1,1,1,1,1,1,1,1,13,13,13,13
8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,"2,3","2,3","2,3","2,3",2,2,2,2,1,1
